smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C(F)(F)F))(c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C(F)(F)F))c1c(OC)cc2ccccc2c1c3c4ccccc4cc([Si](C)(C)C)c3n1(c2ccccc2cc1),4.403547792,-187.1603472,-115.7330821,0,63
B(c1cc(F)cc(F)c1)(c1cc(F)cc(F)c1)C1N(CC(C)(C)C)C=C(CC(C)CC)N1(Br),2.618795593,-214.5423783,-139.156225,0,31
B(c1c(F)cc(Cl)cc1(F))(c1c(F)cc(Cl)cc1(F))c1c([H])n(c6c(OC)cccc6(OC))nn1,2.614333003,-224.1417912,-98.08759463,0,33
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))c2c(C(F)(F)F)cccc2c1cccc(CC)n1,2.933010034,-218.5037848,-58.95832173,0,36
B1(cc1)C(C(C)C)Cc1ccc2ccccc2c1c3c4ccccc4ccc3CC(OC)N1(CCC2(SCCS2)CC1),7.27868216,-214.0460215,-59.82384922,0,32
B(c1ccc(C)o1)(c1ccc(C)o1)N2C(C)CN(CC1(c8ccc([N+](=O)([O-]))cc8))C2=N1,3.11154094,-229.7953409,-80.33808377,0,30
B(c1c(C)cccc1(C))(c1c(C)cccc1(C))c1c(F)cnc(Br)n1,2.517120698,-198.1751186,-94.69084687,0,24
B(CCC)(CCC)c1c(c8ccc(C(F)(F)F)cc8)ccc(c14)c(c23)cccc2cccc3c(c45)ccc(C(C)C)c5N(c7c(C)cc(C)cc7(C))(c7c(C)cc(C)cc7(C)),4.617214984,-205.1406583,-72.78138774,0,42
B(c1c(Cl)cc(F)cc1(Cl))(c1c(Cl)cc(F)cc1(Cl))C1C(c8c(F)cc(F)cc8(F))Cc2cccc(C(=O)OCC)c2N1(C=C(C(=O)([N+](=O)([O-])))),2.661140643,-183.0761156,-115.6487519,0,42
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)c1c(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)cc(c8c(F)cc(F)cc8(F))N1([Si](C)(C)C),2.560004035,-185.1602854,-118.3628723,0,66
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)/N=N\N(CC)(CC),2.371884141,-198.1050341,-60.02137503,0,16
B1(C([Si](C)(C)C)=C1([Si](C)(C)C))N1c(c7ccc(N(C)C)cc7)nc(c8ccc(C(F)(F)F)cc8)n1,2.439406555,-222.3583386,-90.39520535,0,34
B(C=C(C(=O)C(F)(F)F))(C=C(C(=O)C(F)(F)F))c3c1c(c8ccc(C)cc8)cccc1ccc2cccc(C(=O)OCC)c2c3N1(CCN(c6ccccc6)CC1),2.887416506,-193.146836,-98.21003637,0,45
B(c1c(Br)cc(Br)cc1(Br))(c1c(Br)cc(Br)cc1(Br))c1c(c8ccccc8)ccc(c14)c(c23)cccc2cccc3c(c45)ccc([O][H])c5N(c5c(F)cccc5)(c5c(F)cccc5),4.057294075,-201.7732487,-100.8435622,0,48
B(C#C(c1ccccc1))(C#C(c1ccccc1))c1c(c7ccc(N(C)C)cc7)cccc1N=C(CCC)N(C=CC(C)C)(C=CC(C)C),2.874505608,-237.0859597,-75.43336554,0,32
B(c1cc(F)cc(Cl)c1)(c1cc(F)cc(Cl)c1)C1([Si](C)(C)C)CCCC1([Si](C)(C)C)N1(CCCN2CCCCCC12),2.9567682,-223.3005023,-86.9788437,0,30
B(c1c(F)c(Cl)c(F)c(Cl)c1(F))(c1c(F)c(Cl)c(F)c(Cl)c1(F))/N=N\N(c4c(C)c(C)c(C)c(C)c4(C))(c4c(C)c(C)c(C)c(C)c4(C)),2.526526748,-200.2194165,-86.90155043,0,24
B(F)(F)C1C(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)N=NN1,2.558144505,-161.7188537,-110.1821047,0,21
B(CCC)(CCC)c1c([O][H])c2cccc(CCCC)c2N1(CC(C)(C)(C)),2.6695538,-198.1517025,-60.98358852,0,20
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))N1c(c6c(OC)cccc6(OC))cc(C(C)C)n1,2.51834605,-234.3224028,-63.86362591,0,36
B(c1c(Cl)cc(Cl)cc1(Cl))(c1c(Cl)cc(Cl)cc1(Cl))c1c(c8ccc([N+](=O)([O-]))cc8)cccc1CC(CC(C)(C)C)N(c6ccc(Br)cc6)(c6ccc(Br)cc6),5.432928936,-194.0803156,-111.7541974,0,41
B(c7ccc(c6ccccc6)cc7)(c7ccc(c6ccccc6)cc7)C([Si](C)(C)C)c1ccc(F)N1(c5ccc(F)cc5),3.802775819,-178.9623296,-88.90270607,0,35
B(C=CC(C)(C)C)(C=CC(C)(C)C)c1nc(C(F)(F)F)sn1,2.560771204,-196.4925214,-87.25198484,0,21
B(c1ccccc1)(c1ccccc1)c1nc(CCC)sn1,2.556596568,-210.1436731,-86.58131758,0,20
B(c1c(F)c(F)c(C(F)(F)F)c(F)c1(F))(c1c(F)c(F)c(C(F)(F)F)c(F)c1(F))C1C(NC)N=NN1,2.646508509,-167.7260183,-136.573057,0,35
