smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1c(c8ccc(C(F)(F)F)cc8)c(CCC)nn1,2.486260153,-185.9918813,-132.7095042,0,46
B(c1c(Br)cc(Br)cc1(Br))(c1c(Br)cc(Br)cc1(Br))C1C(N)N=NN1(Cl),2.655022693,-171.082669,-121.1817285,0,24
B(CC(C)(C)C)(CC(C)(C)C)N1C(c8c(F)cc(F)cc8(F))COC(Cl)N1(c6ccc(OC)cc6),2.65626992,-190.843684,-61.30725713,0,26
B(c1ccccc1)(c1ccccc1)C(C(F)(F)F)C(=C(CCC))N(C2=CC(C3)CCC23)(C2=CC(C3)CCC23),2.944052034,-197.3855058,-95.45053709,0,23
B(c1c(C)cc(C)cc1(C))(c1c(C)cc(C)cc1(C))c1c(C(=O)OCC)cccc1C([O][H])N(c6ccc(Cl)cc6)(c6ccc(Cl)cc6),3.775491542,-202.7065047,-81.40145852,0,32
B(C=CC(C)C)(C=CC(C)C)C(=C(c8ccc([N+](=O)([O-]))cc8))C(=C(S(=[O])(=[O])[O]CC))N(C1C(C2)CCC2C1)(C1C(C2)CCC2C1),3.910238169,-211.8104241,-93.60442516,0,30
B(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)Cc1ccc(c8ccccc8)N1,4.531648575,-167.3280601,-166.1206185,0,40
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1c(Br)cccc1CC(C(=O)OCC)N1(CCNCC1),4.297483965,-209.6149894,-97.49975347,0,29
B(Br)(Br)c1c(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)cc2ccccc2c1c3c4ccccc4cc(CCCC)c3N(c4ccccc4)(c4ccccc4),3.689803249,-191.6917257,-118.552927,0,41
B(c7ccc(c6ccccc6)cc7)(c7ccc(c6ccccc6)cc7)N2C(CCC)CCN(CCC1(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F))C2=N1,2.82508922,-221.7561481,-79.29242342,0,50
B(C=C)(C=C)c1c(CC(C)CC)ccc(c12)Oc(c23)ccc(c8c(F)cc(F)cc8(F))c3N(C(C)C)(C(C)C),3.183255467,-219.084282,-66.41526987,0,32
B(c1cc(Cl)ccc1)(c1cc(Cl)ccc1)c1c(c8c(C)cc(C)cc8(C))n(C(C)(C)C)nn1,2.578747339,-221.3795451,-90.08216705,0,32
B(c1c(F)cc(F)cc1(F))(c1c(F)cc(F)cc1(F))C(Br)c1cc(=O)cc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)N1(C),3.588199773,-156.0251181,-127.4774744,0,40
B(c1c(F)cc(Cl)cc1(F))(c1c(F)cc(Cl)cc1(F))c1c(N)ccc(c14)c(c23)cccc2cccc3c(c45)ccc(c7ccc(N(C)C)cc7)c5n1(nccc1),2.825721023,-203.2975255,-97.15189977,0,21
B(c1cc(F)cc(F)c1)(c1cc(F)cc(F)c1)c1c(C(F)(F)F)cc2cccc(c8c(C)cc(C)cc8(C))N12,2.69426866,-149.7854056,-100.2655977,0,38
B1(cc1)Oc1c(C)ccc(C(C)C)n1,2.89613792,-218.1018504,-61.23358946,0,13
B(c1ccc(C)cc1)(c1ccc(C)cc1)c1c2c(F)cccc2c(Cl)N1([Si](C)(C)C),2.63059092,-191.4236566,-80.18818544,0,25
B(C=CC(C)C)(C=CC(C)C)c1c(c8c(C)cc(C)cc8(C))Nc(Br)n1,2.587385331,-220.0963639,-73.26622198,0,25
B(c1c(Br)cc(Br)cc1(Br))(c1c(Br)cc(Br)cc1(Br))C([O][H])C(=C(CC(C)(C)C))N(c5ccc(F)cc5)(c5ccc(F)cc5),4.013088523,-192.2866158,-116.2238694,0,28
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)N1c(c8ccc([N+](=O)([O-]))cc8)cc(Br)n1,2.480769915,-198.1319401,-114.1062106,0,29
B(C(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(F)c(F)c(F)c(F)c1(F))(C(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(F)c(F)c(F)c(F)c1(F))/N=N\N(c7c(C)cc(C)cc7(C))(c7c(C)cc(C)cc7(C)),2.475588076,-186.7520284,-160.4112629,0,70
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))c1nc(N)on1,2.620611329,-217.5492284,-63.39651307,0,24
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)N2C([Si](C)(C)C)CCP(CCC1(c8ccccc8))C2N1(c7c(C)cc(C)cc7(C)),3.968860965,-209.5030412,-82.54634369,0,58
B(CC(c1c(F)c(F)c(F)c(F)c1(F)))(CC(c1c(F)c(F)c(F)c(F)c1(F)))c1nc(CCCC)sn1,2.599697325,-200.5349067,-104.5932167,0,28
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1c(Br)ccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)n1,2.492304129,-188.0859001,-113.2091116,0,34
B1(c2ccccc2c3ccccc31)N1c(C(C)(C)C)c(C)nn1,2.411755894,-217.2754617,-96.32085528,0,22
B(c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C(F)(F)F))(c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C(F)(F)F))c1c(OC)cc2ccccc2c1c3c4ccccc4cc([Si](C)(C)C)c3n1(c2ccccc2cc1),4.403547792,-187.1603472,-115.7330821,0,63
B(c1c(Br)c(Br)cc(Br)c1(Br))(c1c(Br)c(Br)cc(Br)c1(Br))c2c(C(C)C)ccc(c23)c4ccccc4c(c13)ccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1N(c4ccccc4)(c4ccccc4),3.795216264,-196.4227138,-122.2511655,0,55
B(c1cc(F)cc(F)c1)(c1cc(F)cc(F)c1)C1N(CC(C)(C)C)C=C(CC(C)CC)N1(Br),2.618795593,-214.5423783,-139.156225,0,31
B(c1c(F)cc(Cl)cc1(F))(c1c(F)cc(Cl)cc1(F))c1c([H])n(c6c(OC)cccc6(OC))nn1,2.614333003,-224.1417912,-98.08759463,0,33
B(c1c(F)c(F)c(C(F)(F)F)c(F)c1(F))(c1c(F)c(F)c(C(F)(F)F)c(F)c1(F))c1c(C(C)C)Nc(CC)n1,2.577686275,-206.0570769,-118.6934403,0,38
B(CC(C)(C)C)(CC(C)(C)C)C1C(C(F)(F)F)NCC(C)N1(c4ccc(c2ccccc2)cc4),2.691346446,-213.9669809,-69.21748519,0,21
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))c2c(C(F)(F)F)cccc2c1cccc(CC)n1,2.933010034,-218.5037848,-58.95832173,0,36
B1(cc1)C(C(C)C)Cc1ccc2ccccc2c1c3c4ccccc4ccc3CC(OC)N1(CCC2(SCCS2)CC1),7.27868216,-214.0460215,-59.82384922,0,32
